Title,Ingredients,Procedures,Nutrition,Yield,Age_group,Cooking_time,Prep_time,Price,recipe_id,Source
"
Herbed Brown Rice Soup 
","
8 ;cups ;Chicken stock 
2 ;Tbsp ;Cooking oil 
2 ;Tbsp ;Garlic, crushed 
2 ;Tbsp ;Onion, Bombay, chopped 
1⁄2 ;cup ;Chicken, breast, ground 
3⁄4 ;cup ;Chorizo, cubed 
1 1⁄2 ;cups ;Rice, brown, raw 
1⁄2 ;tsp ;Basil, dried, whole 
1⁄2 ;tsp ;Oregano, dried 
1⁄2 ;tsp ;Thyme, dried 
1 ;tsp ;Salt 
1 ;tsp ;Pepper 
2 ;Tbsp ;Bell pepper, red, finely chopped 
2 ;Tbsp ;Bell pepper, green, finely chopped ","
!Prepare the brown rice: 
Measure the brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water 

!Prepare chicken stock: 
In a covered pot, boil 8 cups of water. Add 2 pieces chicken bouillon cube until dissolved. Set aside. 
1.In a pan, sauté garlic, onion and chicken. Cover and simmer for 5 minutes. 
2.Add chorizo, sauté until oil is extracted. 
3.Add brown rice. Blend well to coat rice with oil. 
4.Add 6 cups stock. Season with basil, oregano, thyme, salt and pepper. 
5.Cover and simmer for 30 minutes, stirring frequently until rice is tender. 
6.Add the remaining 2 cups stock, let boil, stirring occasionally to prevent rice from sticking to the pan. 
7.Add bell pepper. Remove from fire. Serve hot. 
","
Energy, kcal ;207 
Protein, g ;9.2 
Calcium, mg ;28 
Iron, mg ;1.0 
Vitamin A, μg RE ;6 
Thiamin, mg;0.17 
Riboflavin, mg ;0.06 
Niacin, mg ;5.5 
Vitamin C, mg ;3 
","
Serving size ;1 cup 
Number of serving ;10 servings 
",,,,'',fnri-2013-6her,fnri
"
Brown Rice Cheesy Roll 
","
8 ;slices ;Loaf bread, flattened and trimmed 
3 ;pcs ;Ham, sweet, strips 
16 ;strips ;Filled cheese, sliced 
2 ;cups ;Brown rice, cooked 
1⁄2 ;cup ;Evaporated milk 
2 ;pcs  ;Chicken egg, beaten 
1 ;cup; Bread crumbs 
1 ;cup ;Cooking oil 

","!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. Allow the rice to soak in water for around 25 minutes before turning on the heat. Soaking in water before cooking helps to soften the grains and bring out full flavor. Cooking the brown rice with too much water makes the grains stick together and form into a paste. 
For this recipe, cook less than 1 cup rice in approximately 1 1⁄2 cups water. 

!Prepare the bread: 
Using a rolling pin, flatten each loaf bread in a clean chopping board. Then trim the edges to resemble a perfect square. 
1. 	In a big tray, lay 1 piece flattened bread. Put 1⁄4 cup of brown rice and spread evenly on top of the bread. 
2. 	Arrange 4 strips of ham and two strips of cheese at one side and roll. Using one hand, squeeze the roll applying light pressure for a few seconds to hold and maintain the roll in shape. 
3. 	In a shallow container, mix well egg and milk. Dip the roll in this mixture then in bread crumbs. Make sure that the bread is uniformly coated with egg and bread crumbs. 
4. 	Repeat the same process with the rest of the ingredients. 
5. 	Deep fry in hot cooking oil. Carefully place each roll with the seam at the bottom of the frying pan to prevent the roll from opening up. 
6. 	Fry until golden brown. Remove from pan and drain excess oil in paper towels. 
7. 	To serve, cut the roll into half diagonal crosswise and arrange in serving plate. 
","
Energy, kcal ;422 
Protein, g ;10.8 
Calcium, mg ;134 
Iron, mg ;2.2 
Vitamin A, μg RE ;83 
Thiamin, mg ;0.25 
Riboflavin, mg ;0.23 
Niacin, mg ;5.2 
Vitamin C, mg ;0 
","
Serving size ;1 pc 
Number of serving ;8 servings 
",,,,'',fnri-2013-7bro,fnri
"
Brown Rice Champorado 
","
1 ;cup ;Brown rice, raw 
7 ;cups ;Water 
1⁄4 ;cup ;Cocoa, powder 
1⁄2 ;cup ;Peanut paste (ground peanut) 
1 ;cup ;Sugar, white ","
1.	Measure rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
2.	Soak rice in cooking water for 1 hour. 
3.	In the same water, boil rice and simmer uncovered. Stir once in a while to prevent lumps and from sticking in the pot. Make sure cooking water does not overflow during cooking. 
4.	When half done, add peanut and cocoa. Blend well after each addition to dissolve any lumps. Cook for 10 minutes. 
5.	Add sugar, stir to dissolve and cook for 2 more minutes. 
","
Energy, kcal ;355 
Protein, g ;9.7 
Calcium, mg ;30 
Iron, mg ;1.2 
Vitamin A, μg RE ;0 
Thiamin, mg ;0.15 
Riboflavin, mg ;0.06 
Niacin, mg ;6.3 
Vitamin C, mg ;0 
","
Serving size ;1 pc 
Number of serving ;8 servings 
",,,,'',fnri-2013-8bro,fnri
"
Brown Broccoli Rice-Salad 
","
2 ;cups  ;Brown rice, cooked 
1 ;cup  ;Mayonnaise 
1 ;cup  ;Chicken breast, boiled, diced 
1⁄2 ;cup  ;Celery, diced 
1⁄2 ;cup  ;Bell pepper, red, diced 
1 ;Tbsp  ;Pickle relish 
1⁄4 ;bar  ;Cheese, filled, cubed 
1⁄2 ;tsp  ;Salt 
1⁄2 ;tsp  ;Pepper 
2 ;cups  ;Broccoli florets, blanched ","
!Prepare brown rice: 
Measure brown rice. In a pot with enough water, wash rice once by swirling through the hand. Discard the water. 
The proportion of brown rice to water is: 1 cup of rice to 1 3⁄4 cups of water. 
Allow the rice to soak in water for around 25 minutes before turning on the heat. 
Soaking in water before cooking helps to soften the grains and bring out full flavor.
Cooking the brown rice with too much water makes the grains stick together and form into a paste. 

For this recipe, cook less than 1 cup rice in approximately 1 1⁄2 cups water. 

!Prepare broccoli florets: 
Wash broccoli under running water. Remove the leaves and cut the flowering buds off the stalks. Cut off the tough bottom end of the broccoli. If the florets are big, they can be sliced in half (lengthwise), then sliced uniformly in small sizes. 
Boil enough water. In a pan, blanch broccoli, let stand for 10 minutes. Put in a strainer and let cold water run over the broccoli. Drain and set aside. 
1.Combine mayonnaise, chicken, celery, bell pepper, pickles, and cheese. Blend well. 
2.Season with salt and pepper. 
3.Add rice and blend thoroughly. 
4.Add broccoli and toss lightly. 
5.Refrigerate for at least 3 hours before serving. 


","
Energy, kcal ;490 
Protein, g ;9.5 
Calcium, mg ;73 
Iron, mg ;1.4 
Vitamin A, μg RE ;131 
Thiamin, mg ;0.16 
Riboflavin, mg ;0.10 
Niacin, mg ;5.4 
Vitamin C, mg ;47 
","
Serving size ;1cup 
Number of serving ;7servings 
",,,,'',fnri-2013-9bro,fnri
"
Yummy Egg Surprise 
","
3 ;Tbsps ;margarine, fortified 
2 ;Tbsps ;cooking oil, for sautéing 
3 1⁄2 ;Tbsps ;garlic, chopped 
3 1⁄2 ;Tbsps ;onion, Bombay, chopped 
1 3⁄4 ;cups ;pork, kasim, ground 
1 3⁄4 ;cups ;squash, chopped 
1 1⁄4 ;cups ;kamote, yellow, chopped 
1 1⁄4 ;cups ;raisin, chopped 
1⁄2 ;cup ;green onion, sliced thinly 
2 ;pieces ;chicken egg, beaten 
1⁄4 ;cup ;all purpose flour, sifted 
1 ;tsp ;iodized salt 
1⁄2 ;tsp ;black pepper, ground 
20 ;pieces ;chicken egg, boiled, shelled 
1⁄2 ;cup ;all purpose flour, for coating 
1 3⁄4 ;cups ;breadcrumbs 
4 cups ;cooking oil, for frying 

","
1.In a pan, heat margarine and oil. Sauté garlic, onion, and ground pork. Cover and cook for 15 minutes. 
2.Add squash, kamote and raisin. Cover and cook for 10 minutes. 
3.Remove from heat. Cool. Set aside. 
4.Add green onion, beaten egg, flour, salt and pepper. Mix well. 
5.Sprinkle egg with flour. Scoop out 2 tablespoons of the meat mixture, and then wrap the egg gently. Secure the meat mixture by squeezing tenderly until meat sticks to the egg and holds its form. 
6.Lightly roll the egg in breadcrumbs. Repeat the process with the rest of the ingredients. 
7.Deep fry in hot oil until golden brown. Drain excess oil. 
8.Can be served with catsup. 
","
Amount per serving 
Calories 473 
Fat 40.3g 
Carbohydrate 14.4g 
Protein 12.9g 
Calcium 83mg 
Iron 3.2mg 
Vitamin A 112μg RE 
Thiamin 0.46mg 
Riboflavin 0.37mg 
Niacin 3.5mg 
Vitamin C 6mg 
","
20 servings 
1 piece per serving 
",,,,'',fnri-2014-1yum,fnri
"
So-Tahong Soup 
","
1⁄4 ;cup ;margarine, fortified 
1 1⁄2 ;Tbsps ;cooking oil 
3 ;Tbsps ;garlic, chopped 
1⁄4 ;cup ;onion, Bombay, chopped 
1 1⁄2 ;cups ;tahong, steamed, shelled 
3 ;Tbsps ;patis 
1⁄2 ;tsp ;black pepper, ground 
12 1⁄2 ;cups ;water 
2 ;packs (100g/pack) ;sotanghon, soaked in water for 5 minutes 
1⁄3 ;cup ;bell pepper, red, strips 
3 ;Tbsps ;atsuete juice 
3⁄4 ;cup ;corn kernel, canned, drained 
4 ;cups ;cabbage, shredded 
1 1⁄2 ;cups ;carrot, strips 
1⁄2 ;tsp ;iodized salt 

","
1.In a pan, heat margarine and oil. Sauté garlic, onion, and tahong. 
2.Season with patis and pepper. Cover and cook for 5 minutes. 
3.Add water and sotanghon. Cover and cook until sotanghon becomes transparent. 
4.Add atsuete juice. Mix well. Let it boil. 
5.Add bell pepper, corn, cabbage and carrot. 
6.Season with salt. Simmer for 5 minutes. 
7.Serve hot. 
","
Amount per serving 
Calories 103 
Fat 4.1g 
Carbohydrate 15.5g 
Protein 1.1g 
Calcium 38mg 
Iron 1.0mg 
Vitamin A 187μg RE 
Thiamin 0.48mg 
Riboflavin 0.02mg 
Niacin 0.5mg 
Vitamin C 6mg 
","
20 servings 
3⁄4 cup per serving 
",,,,'',fnri-2014-10so-,fnri
"
Lumpia Medley 
","
2 ;cups ;pork, kasim, ground 
3⁄4 ;cup ;shrimp, suahe, chopped, shelled 
1⁄2 ;cup ;kinchay, sliced thinly 
2 1⁄2 ;cups ;squash, chopped 
1 1⁄4 ;cups ;yellow kamote, strips 
2 ;cups ;malunggay leaves 
1⁄4 ;cup + 1 Tbsp ;all-purpose flour, sifted 
1⁄2 ;cup ;onion, Bombay, chopped 
5 ;pieces ;chicken eggs, beaten 
1 ;Tbsp ;soy sauce 
1⁄2 ;tsp ;black pepper, ground 
1/16 ;tsp ;iodized salt 
60 ;pieces ;lumpia wrapper, separated 
4 ;cups ;cooking oil, for frying 

","
1.In a mixing bowl, combine the first 12 ingredients. Mix well. 
2.Place 1 tablespoon of the mixture on each wrapper and roll. Moisten edge with water and wrap securely. 
3.Do the same with the rest of the mixture. 
4.Deep-fry in hot oil until golden brown. Drain excess oil. 
5.Can be served with catsup.  
","
Amount per serving 
Calories 317 
Fat 24.3g 
Carbohydrate 16.6g 
Protein 8.2g 
Calcium 58mg 
Iron 2.1mg 
Vitamin A 124μg RE 
Thiamin 0.15mg 
Riboflavin 0.13mg 
Niacin 3.4mg 
Vitamin C 11mg 
","
20 servings 
3 pieces per serving 
",,,,'',fnri-2014-11lum,fnri
"
Mixed Veggie Arroz 
","
3⁄4 ;cup ;cooking oil, for sautéing 
1⁄3 ;cup ;garlic, chopped 
1⁄2 ;cup ;onion, Bombay, chopped 
2 3⁄4 ;cups ;chicken breast, ground 
1⁄3 ;cup ;patis 
1⁄2 ;tsp ;black pepper, ground 
2 ;Tbsps ;soy sauce 
1 1⁄2 ;cups ;tomato sauce 
2 ;Tbsps ;sugar, white 
2 ;cups ;water 
1 1⁄2 ;cup ;carrot, cubed 
2 ;cups ;sayote, cubed 
1 1⁄2 ;cups ;kamote, yellow, cubed 
3⁄4 ;cup ;bell pepper, red & green, round, chopped 
8 1⁄2 ;cups ;rice, cooked 
9 ;pieces ;banana, saba, medium ripe, medium size, sliced, fried, for topping 
2 ;cups ;cooking oil, for frying 

","
1.In a pan, heat oil. Sautè garlic, onion, and chicken. 
2.Season with patis and pepper. 
3.Add soy sauce, tomato sauce, sugar and water. Cover and cook for 8 minutes. 
4.Add carrot, sayote, and kamote. Cover and simmer for 15 minutes or until tender. 
5.Add bell pepper and rice. Mix well and cook covered for 10 minutes. 
6.Top with fried saba. Serve hot. 
","
Amount per serving 
Calories 416 
Fat 25.8g 
Carbohydrate 36.5g 
Protein 9.6g 
Calcium 48mg 
Iron 1.9mg 
Vitamin A 182μg RE 
Thiamin 0.08mg 
Riboflavin 0.07mg 
Niacin 5.6mg 
Vitamin C 16mg 
","
20 servings 
3⁄4 cup per serving 
",,,,'',fnri-2014-12mix,fnri
"
Hearty Dumpling 
","
1⁄4 cup ;cooking oil, for sautéing 
1⁄4 cup ;garlic, bulb, chopped 
1⁄4 ;cup ;onion, Bombay, chopped 
1 1⁄4 ;cups ;pork, kasim, ground 
1 ;tsp ;iodized salt 
1⁄2 ;tsp ;black pepper, ground 
10 ;cups ;puso ng saging, sliced thinly 
1 1⁄4 ;cups ;carrot, chopped 
1 1⁄4 ;cups ;singkamas, chopped 
1⁄2 ;cup ;green onion, sliced thinly 
1⁄2 ;cup ;all-purpose flour, sifted 
3 ;pieces ;chicken egg, beaten 
1 1⁄4 ;cups ;breadcrumbs 
83 ;pieces ;molo wrapper, round, big 
4 ;cups ;cooking oil, for frying 

!Vinegar dip
1 1⁄4 ;cups ;vinegar, white 
1 ;Tbsp ;garlic, bulb, crushed 
1⁄2 ;tsp ;black pepper, ground 
2 1⁄2 ;tsps ;iodized salt 
","
1.In a pan, heat oil. Sauté garlic, onion, and pork. 
2.Season with salt and pepper. 
3.Add puso ng saging. Cover and cook for 15-20 minutes. 
4.Add carrot, singkamas and onion. Blend well. Cook for 10 minutes. 
5.Remove from heat and allow to cool. 
6.Add flour, egg and breadcrumbs into the mixture. Mix well. 
7.Place 1 tablespoon of the mixture on the wrapper. Form the wrapper into a star. Do the same with the rest of the mixture. 
8.Deep fry in hot oil until golden brown. 
","
Amount per serving 
Calories 502 
Fat 41.7g 
Carbohydrate 24.8g 
Protein 6.6g 
Calcium 63mg 
Iron 2.3mg 
Vitamin A 156μg RE 
Thiamin 0.17mg 
Riboflavin 0.10mg 
Niacin 2.9mg 
Vitamin C 7mg 
","
20 servings 
4 pieces per serving 
",,,,'',fnri-2014-2hea,fnri
"
Tahong Omelet 
","
1⁄2 ;cup ;cooking oil 
1⁄4 ;cup ;ginger, chopped 
1⁄2 ;cup ;garlic, chopped 
3⁄4 ;cup ;onion, Bombay, chopped 
4 1⁄2 ;cups ;tahong, steamed, shelled, chopped 
2 ;tsps ;iodized salt 
1 ;tsp ;black pepper, ground 
7 ;cups ;squash, chopped 
3 1⁄2 ;cups ;singkamas, chopped 
4 1⁄2 ;cups ;malunggay leaves 
9 ;pieces ;chicken egg, beaten 
3⁄4 ;cup ;all-purpose flour, sifted 
4 ;cups ;cooking oil, for frying 


","
1.In a pan, heat oil. Sauté ginger, garlic, onion and tahong. Cook for 5 minutes. 
2.Season with salt and pepper. 
3.Add squash, singkamas, and malunggay. Blend well. Remove from fire. Set aside to cool. 
4.Pour eggs and mix well. Scoop out 1⁄4 cup of the mixture in an egg molder in the frying pan. 
5.Deep fry in hot oil until golden brown. Drain excess oil. 
6.Can be served with catsup or sweet chili sauce. 
","
Amount per serving 
Calories 408 
Fat 36.2g 
Carbohydrate 14.7g 
Protein 5.9g 
Calcium 116mg 
Iron 2.5mg 
Vitamin A 243μg RE 
Thiamin 0.11mg 
Riboflavin 0.16mg 
Niacin 2.6mg 
Vitamin C 22mg 
","
20 servings 
2 pieces per serving 
",,,,'',fnri-2014-3tah,fnri
"
Veggie Fritters 
","
6 ;cups ;cassava, grated 
3⁄4 ;cup ;kinchay, sliced 
2 ;cups ;singkamas, chopped 
8 ;cups ;squash, chopped 
2 ;cups ;suahe shrimp, chopped, shelled 
3⁄4 ;cup ;garlic, bulb, chopped 
3⁄4 ;cup ;onion, bombay, chopped 
2 ;tsps ;iodized salt 
1 ;tsp ;black pepper, ground 
3⁄4 ;cup ;cornstarch 
4 ;cups ;cooking oil, for frying 

!Vinegar dipping sauce 
2 ;cups ;vinegar, white 
1 ;Tbsp ;garlic, crushed 
2 ;tsps ;black pepper, ground 
1 ;Tbsp ;iodized salt 


","
1.In a mixing bowl, combine all ingredients. Mix well. 
2.Scoop-out 1⁄4 cup of the mixture then set in a saucer to form a ring. 
3.Repeat the process with the rest of the mixture. 
4.Deep fry in hot oil until golden brown. Drain the excess oil. 
5.Serve hot with vinegar dip. 
","
Amount per serving 
Calories 245 
Fat 12.4g 
Carbohydrate 27.4g 
Protein 6.1g 
Calcium 92mg 
Iron 2.0mg 
Vitamin A 144μg RE 
Thiamin 0.11mg 
Riboflavin 0.09mg 
Niacin 2.3mg 
Vitamin C 31mg 
","
20 servings 
3 pieces per serving 
",,,,'',fnri-2014-4veg,fnri
"
Veggie Rice Topping 
","
1⁄4 ;cup ;cooking oil 
1⁄4 ;cup ;garlic, chopped 
1⁄4 ;cup ;onion, Bombay, chopped 
1 ;cup ;pork, kasim, ground 
1 ;tsp ;iodized salt 
1 1⁄4 ;cups ;carrot, strips 
1 ;cup ;sayote, strips 
1 3⁄4 ;cups ;water 
1 3⁄4 ;cups ;toge, cleaned 
1 3⁄4 ;cups ;kulitis 
9 ;pieces ;tokwa, cubed 
3 ;cups ;cooking oil, for frying tokwa 
1⁄4 ;cup ;oyster sauce 
1⁄2 ;tsp ;black pepper, ground 
1⁄2 ;cup ;bell pepper, round, red, chopped 
1 ;tsp ;sugar, white 
10 ;cups ;rice, cooked 
","
1.In a pan, heat oil. Sauté garlic, onion and pork. Cover and cook for 8 minutes. 
2.Season with salt. 
3.Add carrot, sayote, and water. Cover and simmer for 5 minutes. 
4.Add toge, kulitis, tokwa, oyster sauce, pepper, sugar, and bell pepper. Blend well. Cover and simmer for 4 minutes. 
5.Serve on top of rice. 
","
Amount per serving 
Calories 286 
Fat 14.4g 
Carbohydrate 31.4g 
Protein 7.7g 
Calcium 77mg 
Iron 1.8mg 
Vitamin A 120μg RE 
Thiamin 0.08mg 
Riboflavin 0.07mg 
Niacin 2.4mg 
Vitamin C 7mg 
","
20 servings 
3⁄4 piece per serving (1⁄4 cup tokwa mixture + 1⁄2 cup rice) 
",,,,'',fnri-2014-5veg,fnri
"
Kiddie Ginatan 
","
4 ;cups ;coconut milk, pure, diluted in 
4 ;cups ;water 
1 1⁄2 ;cups ;sugar, segunda or 2nd class 
1 ;cup ;rice, malagkit 
6 ;pieces ;pandan leaves 
1 ;cup ;kamote, violet, cubed 
1 ;cup ;squash, cubed 
4 ;pieces ;banana saba, medium size, medium ripe, cubed 
1⁄2 ;cup ;sago, white, small, cooked 
1⁄2 ;cup ;cucumber, seeded, grated 
1⁄2 ;cup ;coconut milk, pure 

","
1.In a pot, combine diluted coconut milk, sugar, malagkit, and pandan. 
2.Bring to a boil. Stir constantly to avoid scorching. Cover and simmer until thick. 
3.Add kamote, squash, and saba. Cover and cook for 20 minutes or until tender. Stir once in a while to prevent scorching. 
4.Add sago and cucumber. Blend well. 
5.Add pure coconut milk. Blend well. Serve hot. 
","
Amount per serving 
Calories 287 
Fat 18.6g 
Carbohydrate 26g 
Protein 3.8g 
Calcium 38mg 
Iron 1.2mg 
Vitamin A 12μg RE 
Thiamin 0.04mg 
Riboflavin 0.02mg 
Niacin 1.2mg 
Vitamin C 6mg 
","
20 servings 
1⁄2 cup per serving 
",,,,'',fnri-2014-6kid,fnri
"
Creamy Mac Soup 
","
1 1⁄2 ;cups ;macaroni, shell, raw 
3 3⁄4 ;cups ;water 
2 ;tsps ;cooking oil 
3 ;Tbsps ;cooking oil, for sautéing 
3 ;Tbsps ;garlic, chopped 
1⁄3 ;cup ;onion, Bombay, chopped 
1 ;cup ;chicken breast, fillet, ground 
3 ;Tbsps ;patis 
1⁄3 ;tsp ;black pepper, ground 
10 ;cups ;chicken stock 
1 ;cup ;potato, cubed 
3 1⁄4 ;cups ;evaporated milk 
3 1⁄4 ;cups ;cabbage, strips 
2 ;cups ;carrot, shredded 
40 ;pieces ;quail egg, boiled, shelled 

","
1.Cook macaroni as directed: 
• Boil water. Add a pinch of salt and cooking oil. 
• Add macaroni in the briskly boiling water. 
• Cook uncovered, maintain temperature at rolling boil. 
• Stir occasionally to prevent macaroni from sticking together. 
• Cook for 10-12 minutes or until al dente. 
• Drain cooking water, rinse with tap water. 
• Drain well. 
2.In a pan, heat oil. Sauté garlic, onion, and chicken. 
3.Season with patis and pepper. 
4.Add chicken stock. Cover and cook for 8 minutes. 
5.Add potato. Cover and simmer for 10 minutes. 
6.Add milk. Simmer uncovered. 
7.Add cabbage and carrots. Serve hot. Top with egg. 
","
Amount per serving 
Calories 167 
Fat 7.4g 
Carbohydrate 15.5g 
Protein 9.6g 
Calcium 191mg 
Iron 1.4mg 
Vitamin A 275μg RE 
Thiamin 0.13mg 
Riboflavin 0.35mg 
Niacin 3.4mg 
Vitamin C 7mg 
","
20 servings 
1 cup per serving with 2 pcs quail eggs 
",,,,'',fnri-2014-7cre,fnri
"
Mamilicious 
","
1 1/2 ;packs (700 g/pack) ;miki, fresh, washed & blanched 
12 ;cups ;chicken stock 
3 ;pieces ;onion, bombay, cut into quarter 
3 ;Tbsps ;patis 
1⁄3 ;tsp ;pepper, ground 
1 ;tsp ;iodized salt 
1 1⁄2 ;Tbsp ;sugar, white 
1 1⁄2 ;cups ;chicken, breast, boiled, flaked 
3⁄4 ;cup ;carrot, strips 
3 ;cups ;pechay baguio, sliced crosswise 
3⁄4 ;cup ;toge 
1 1⁄2 ;cups ;vegetable chicharon, crushed 
1⁄3 ;cup ;green onion, sliced thinly 
40 ;pieces ;quail egg, boiled, shelled ","
1.In a pot, combine stock, onion, patis, pepper, salt, and sugar. Cover and boil. 
2.Add miki, chicken, carrot, pechay and toge. Simmer for 5 minutes. 
3.Serve hot. Top with chicharon and quail eggs. 
","
Amount per serving 
Calories 321 
Fat 14.9g 
Carbohydrate 33.9g 
Protein 12.9g 
Calcium 69mg 
Iron 2.9mg 
Vitamin A 162μg RE 
Thiamin 0.14mg 
Riboflavin 0.15mg 
Niacin 5.2mg 
Vitamin C 7mg 
","
20 servings 
1 cup per serving with 2 quail eggs 
",,,,'',fnri-2014-8mam,fnri
"
Tinola Surprise 
","
3 ;Tbsps ;cooking oil 
1⁄4 ;cup ;ginger, crushed 
3 ;Tbsps ;garlic, chopped 
3 ;Tbsps ;onion, Bombay, chopped 
3 1⁄4 ;cups ;chicken breast, fillet, cut into serving pieces 
1⁄4 ;cup ;patis 
1 3⁄4 ;cups ;papaya, peeled, seeded, sliced thinly 
1 ;cup ;potato, cubed 
8 ;cups ;chicken stock 
2 ;cups ;pechay, sliced 
2 ;pieces ;sili, green, long 

","
1.In a pan, heat oil. Sauté ginger, garlic, and onion. 
2.Add chicken. Season with patis. Cover and cook for about 10 minutes. 
3.Add papaya, potato and chicken stock. Simmer until chicken is tender. 
4.Add pechay and sili. Cook for another 5 minutes. 
5.Serve hot. 
","
Amount per serving 
Calories 83 
Fat 4.3g 
Carbohydrate 2.5g 
Protein 8.5g 
Calcium 26mg 
Iron 0.9mg 
Vitamin A 21μg RE 
Thiamin 0.04mg 
Riboflavin 0.04mg 
Niacin 5.2mg 
Vitamin C 7mg 
","
20 servings 
1⁄2 cup per serving 
",,,,'',fnri-2014-9tin,fnri
"
Savory Pork N Beans 
","
1 ;cup  ;Kidney beans, red, dried 
8 ;cups  ;Water for boiling 
2 ;cups  ;Potato, cubed 
3 ;cups  ;Cooking oil for frying 
1⁄4 ;cup  ;Cooking oil 
1⁄3 ;cup  ;Onion, Bombay, chopped 
3 ;Tbsps  ;Garlic, chopped 
3 ;cups  ;Pork, liempo, sliced 
4 ;cups  ;Water 
1 ;tsp  ;Black pepper, whole 
6 ;pcs  ;Laurel leaves, dried 
1⁄2 ;cup  ;Tomato sauce 
1⁄2 ;cup  ;Bell pepper, red and green, strips 
1 ;cup  ;Baguio beans, sliced 
1⁄2 ;cup  ;Cheese, grated 
2 ;tsps ;Iodized salt 
1/16 ;tsp ;Black pepper, ground 

","
1. Boil kidney beans: 
• In a covered pan, boil red beans over medium fire for 45 minutes or until tender. Drain. Set aside. 
2. In a pan, deep fry potato. Set aside. 
3. In another pan, heat oil. Sauté onion, garlic and pork. Cover and cook for 10 minutes or until pork becomes tender. 
4. Add water, pepper and laurel leaves. Simmer for 15 minutes. 
5. Add tomato sauce, bell pepper, baguio beans and cheese. Simmer for another 5 minutes. 
6. Season with salt and pepper. 
7. Add potato and beans. Mix well. Serve hot. 
","
Amount per serving 
Energy, kcal  765 
Fat,g  53.8 
Carbohydrate, g 37.8 
Protein, g  32.3 
Calcium, mg  131 
Iron, mg  5.0 
Vitamin A, μg RE  45 
Thiamin, mg  0.56 
Riboflavin, mg  0.29 
Niacin, mg  12.6 
Vitamin C, mg  37 
","
Serving size: 1 1⁄2 cups
Number of servings: 6 
",,"
1 hour & 35 minutes 
",,'',fnri-2016-1sav,fnri
"
BRB Brown Rice Burrito 
","
1 1⁄2 ;cups ;Kidney beans, red, dried 
8 ;cups ;Water for boiling 
1⁄4 ;cup ;Cooking oil 
3 ;Tbsps ;Garlic, chopped 
3 ;Tbsps ;Onion, Bombay, chopped 
1 1⁄2 ;cups ;Chicken breast, ground 
1/16 ;tsp ;Curry powder 
1⁄2 ;tsp ;Iodized salt 
2 1⁄2 ;cups ;Rice, brown, cooked 
1 1⁄2 ;cups ;Carrot, strips, thinly 
2 ;cups ;Cabbage, strips, thinly 
1⁄2 ;cup ;Tomato, sliced 
1⁄2 ;cup ;Cheese, grated 
18 ;pcs ;Lumpia wrapper, medium sized 
4 ;cups ;Cooking oil for frying 

","
1. Boil kidney beans: 
• In a covered pan, boil red beans over medium fire for 45 minutes or until tender. Drain then mash. Set aside. 
2. In a pan, heat oil. Sautè garlic, onion and chicken. 
3. Add curry and salt. Cover and simmer for 5 minutes. 
4. Add rice and beans. Blend well. Simmer for 3 minutes. 
5. Add carrots, cabbage, tomato and cheese. Simmer for another 1 minute. Set aside to cool. 
6. Put 1⁄4 cup of the mixture in wrapper then wrap/ roll securely. Do the same with the rest of the mixture. 
7. Deep fry in hot cooking oil until golden brown. 
8. Drain the excess oil. Serve hot. 
","
Amount per serving 
Energy, kcal  996 
Fat, g  57.4 
Carbohydrate, g  88.4 
Protein, g  31.5 
Calcium, mg  160 
Iron, mg  6.6 
Vitamin A, μg RE  413 
Thiamin, mg  0.48 
Riboflavin, mg  0.21 
Niacin, mg  14.9 
Vitamin C, mg  17 
","
Serving size: 3 pcs. 
Number of servings: 6 
",,"
1 hour & 40 minutes 
",,'',fnri-2016-10brb,fnri
